"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.42271923981601,0.0600016218982969,-40.3775625252687,0,0,"1266","1266","1266"
"ENSG00000183508",2053.88135557663,3.20195534795427,0.0724172014757565,44.2153974843422,0,0,"54855","54855","54855"
"ENSG00000159176",5692.46278267679,-2.31373756503587,0.0575533663106385,-40.201602675119,0,0,"1465","1465","1465"
"ENSG00000150938",7442.98631416393,-2.05963137024162,0.0538449075112118,-38.2511822462087,0,0,"51232","51232","51232"
"ENSG00000116016",4423.94665216876,-1.8880193725334,0.0431679917758761,-43.7365579185571,0,0,"2034","2034","2034"
"ENSG00000136068",3796.1265394147,-1.64979200672637,0.0439354370533442,-37.5503720316534,0,0,"2317","2317","2317"
"ENSG00000164251",2348.7701339719,3.34450833213609,0.0690717572655249,48.4207795565294,0,0,"2150","2150","2150"
"ENSG00000124766",2576.65254960143,2.39228794576996,0.0617086151812924,38.767487144894,0,0,"6659","6659","6659"
"ENSG00000124762",28106.1191885778,1.83225777686374,0.0388966414279758,47.1058093860495,0,0,"1026","1026","1026"
"ENSG00000106366",43719.1260988373,-1.84404649934342,0.0419164996609003,-43.9933323216763,0,0,"5054","5054","5054"
"ENSG00000188153",2944.12640623352,2.26608046261254,0.0552681287921681,41.0015774395761,0,0,"1287","1287","1287"
"ENSG00000122861",28007.1433373973,2.26252546550258,0.0552183311595105,40.9741732137244,0,0,"5328","5328","5328"
"ENSG00000148773",1840.19727265675,-3.19605832567065,0.0757850351652615,-42.1726838115352,0,0,"4288","4288","4288"
"ENSG00000059804",3443.39680712992,2.07976295761976,0.0543254349135801,38.2834110933159,0,0,"6515","6515","6515"
"ENSG00000123416",4420.07398793879,-1.93841810360098,0.0505768630461242,-38.3261828997426,0,0,"10376","10376","10376"
"ENSG00000139289",12942.9106281238,2.03736205042695,0.0462973434178464,44.0060249686291,0,0,"22822","22822","22822"
"ENSG00000125257",6050.78726438958,1.95054949491349,0.0435953844406006,44.7421102013941,0,0,"10257","10257","10257"
"ENSG00000211448",1884.75741158654,2.52372169452888,0.0653981298931867,38.5901202167526,0,0,"1734","1734","1734"
"ENSG00000128917",1307.34250385583,3.8582531145741,0.0865185432075095,44.5945224172385,0,0,"54567","54567","54567"
"ENSG00000138623",2851.61916336974,-2.40668774845908,0.0581377318678247,-41.3963130507164,0,0,"8482","8482","8482"
"ENSG00000131747",1743.84285765667,-2.92418912756521,0.069622103454464,-42.0008730342047,0,0,"7153","7153","7153"
"ENSG00000167601",8245.06804500101,-2.14234576630771,0.0404435485638548,-52.9712609892587,0,0,"558","558","558"
"ENSG00000198743",1999.10327890814,2.5345304131356,0.0670975518000999,37.7738135764861,0,0,"6526","6526","6526"
"ENSG00000074800",18390.4756149844,-1.33893117834408,0.0358590275895759,-37.3387475440998,3.86082290713237e-305,2.37086700022154e-302,"2023","2023","2023"
"ENSG00000181104",14922.5173336984,1.66815955567935,0.0447581299294245,37.2705374042601,4.92673245647865e-304,2.90440731774329e-301,"2149","2149","2149"
"ENSG00000115963",13232.3301349766,1.80533073536896,0.0488625142075116,36.9471519149013,8.09231108104173e-299,4.58709541201511e-296,"390","390","390"
"ENSG00000104368",13214.4968037918,2.02763709005456,0.0550460855246624,36.8352639561647,5.03520683649004e-297,2.74847697615520e-294,"5327","5327","5327"
"ENSG00000157680",1359.0634938634,2.54493702368437,0.0693613893225764,36.6909753183969,1.01726618398183e-294,5.35445322125867e-292,"9162","9162","9162"
"ENSG00000074416",2392.80973934457,-2.14808670764645,0.058906348089818,-36.466132722591,3.81873143499156e-291,1.94070565134157e-288,"11343","11343","11343"
"ENSG00000104081",804.838487338129,4.43413656938239,0.12163638440607,36.4540313413092,5.93856217988939e-291,2.91741764690699e-288,"90427","90427","90427"
"ENSG00000166073",2268.80918089117,-2.2066708419761,0.0608219606307423,-36.2808238848642,3.24649821954148e-288,1.54344808901943e-285,"11245","11245","11245"
"ENSG00000165434",1243.14971044106,2.51723600339355,0.0694013569941963,36.27070294323,4.68797353251025e-288,2.15910481006675e-285,"283209","283209","283209"
